id,score_A2,score_A3,d_score,words_A2,words_A3,d_words,chars_A2,chars_A3
02109c83-28b1-4269-b4b2-5ceefb66524e,0.4624,0.2258,0.2366,334,163,171,2391,1199
03895677-b504-4120-9606-c40cc457d5bf,0.0595,0.1548,-0.0952,306,207,99,2179,1576
06d12149-94dc-4797-b3ef-e9efa9759c09,0.2644,-0.0575,0.3218,426,157,269,2909,1239
09583fec-46bd-4a79-a524-94261baa875d,0.4839,0.6129,-0.1290,412,204,208,3269,1481
0a51d024-97a2-4a01-a946-0c7abe025cdc,0.2456,-0.1140,0.3596,603,171,432,5255,1591
122f0795-5f3f-43dd-8d69-a75253d03fb6,0.0864,0.0370,0.0494,308,124,184,2200,922
169b9665-0688-4171-bd54-716456a9861a,-0.1059,0.0235,-0.1294,127,150,-23,1026,1314
170e7b7e-4fdf-4dae-baf4-ad1ad6417755,0.1222,-0.0333,0.1556,408,206,202,2696,1438
1dc0b953-ef66-4a78-9989-7cf1053b5b41,0.1237,0.3299,-0.2062,474,186,288,3537,1459
2039fff5-f482-47a4-b221-df15a544a760,0.8228,0.3797,0.4430,360,69,291,2975,519
20cdebb7-9189-4f09-ad21-bfc8e8b75680,0.1264,0.0632,0.0632,180,145,35,1266,1024
20dd8f13-bd55-41eb-b5c7-d74655a96124,0.0901,0.0450,0.0450,203,102,101,1547,878
269f4460-863a-4bcb-9968-2feebc558bf6,-0.1429,0.1111,-0.2540,322,124,198,2203,885
2722eaf6-d189-4704-8e91-1bada79872ba,-0.0532,-0.0319,-0.0213,229,176,53,1584,1114
2920b2af-eb67-44d7-a94b-4cad3276108b,0.6875,0.4306,0.2569,412,223,189,2525,1485
3042e982-ae48-4fc0-9e37-e1b9d605cd89,0.1528,0.0833,0.0694,560,410,150,4111,3436
45ff7ce0-e47d-4d21-8636-d5bbd86a8254,0.2000,0.2000,0.0000,366,167,199,2807,1352
5b323cdf-e322-4416-9f26-ec780960f0c8,0.3836,-0.0137,0.3973,409,120,289,2845,1066
5f115330-b0d3-4966-9328-8dea65a9ff24,0.3333,0.1471,0.1863,751,265,486,6332,1896
600e917b-aca4-4009-817c-6ef4356ce9a9,0.1642,0.0299,0.1343,238,149,89,1823,1317
656de9e7-2ba7-4fef-a866-671c3b1e1f70,0.6000,0.4333,0.1667,207,215,-8,1374,1445
659dee03-ec01-47f7-a3c2-9ed7dc140938,0.6735,-0.1633,0.8367,802,124,678,5594,905
65e8928f-c10d-40d1-a215-600680f64e1e,-0.0128,-0.1154,0.1026,170,270,-100,1251,1900
69ab890f-d928-41fb-83c0-9206ccdbaeb8,0.3077,0.3269,-0.0192,615,238,377,4397,1849
6c2af010-b144-49a3-9872-6cefd534beb9,0.1923,0.0192,0.1731,586,173,413,4633,1435
6edff375-f7ec-46c1-a78d-68a1b0f44f0b,0.0610,-0.3171,0.3780,272,46,226,1854,347
72125034-4bd0-4418-a573-4baeaeadea6f,0.4188,0.0855,0.3333,184,79,105,1502,495
736af113-c7ff-41ae-a095-e732a1946d5c,0.2088,0.0220,0.1868,536,177,359,3868,1337
78cf0eb8-9809-4144-abd4-e04ad662b7f5,0.0000,-0.1261,0.1261,237,88,149,1679,695
78fd84df-16b9-4b00-9e17-f95993361443,0.2441,0.0394,0.2047,291,157,134,2271,1702
7e576f4a-f8d0-4677-bb29-da0eac9d9747,0.6239,0.1468,0.4771,370,100,270,2473,711
85c11e2a-628b-464f-a8bb-e97ab04a73eb,0.0227,0.1818,-0.1591,629,430,199,4842,3195
86bee699-aea6-40bc-b407-15eeb998c754,0.0094,0.0094,0.0000,221,101,120,1474,906
88559e03-ba23-44bb-adf4-89bf40603bcb,-0.0541,0.1216,-0.1757,278,208,70,2094,1583
8e2f2673-df10-46da-908a-d67e37d7587b,-0.1282,0.0513,-0.1795,219,121,98,1669,948
8faeed75-9db1-448b-9108-7b67420066a0,0.0610,0.1220,-0.0610,69,107,-38,440,744
927401a8-f97c-4a76-92ca-fc52b2f25d08,0.1829,-0.0610,0.2439,266,98,168,2331,795
9cad4963-d886-4145-a2a3-49a93e41140a,0.4396,-0.1429,0.5824,410,87,323,2829,626
a179a30f-398e-4af3-adca-ceab830f8f14,0.0722,-0.0103,0.0825,515,162,353,4483,1276
a43894bf-73e9-4e1e-8883-b243e3b678ed,0.2625,-0.0875,0.3500,667,164,503,5445,1253
a4526edf-aa5e-425a-a75e-6b95bb1eff8a,-0.3678,-0.3333,-0.0345,451,141,310,3532,1085
a8bc70f3-6e34-4bde-9b6f-4e6946c0584b,0.2708,0.2292,0.0417,932,652,280,7048,4834
b2256875-a184-4447-a53a-34e8a10fba8b,0.3676,0.0588,0.3088,428,240,188,3176,1811
b2905d1a-80ea-4e2e-ba63-724bcc65743f,0.0769,-0.0659,0.1429,392,172,220,3476,1490
c518a22d-8dfb-4bb7-a035-cadb53fd7e83,0.1429,0.1429,0.0000,228,149,79,1741,1254
c7b3eeb8-6374-4cdf-8868-be583cce21a9,0.6863,0.0392,0.6471,445,73,372,2911,506
ccd53762-8a27-4244-a711-f14ccd7b23a5,0.3015,0.1912,0.1103,747,370,377,5181,2484
e43a1b7e-c9a9-4ab7-a075-8238ffe34845,0.5109,0.2500,0.2609,611,138,473,4379,1043
e620f43b-2d6d-47e6-9465-6a9c8954c926,0.0400,0.1200,-0.0800,349,245,104,2843,1976
e87d2339-b72f-4cd3-8274-ccb052a21af3,0.3488,0.0930,0.2558,373,145,228,2815,1385
ee04b41e-c15d-41e1-b091-a5b5f6674813,0.5524,0.1143,0.4381,192,84,108,1398,719
